"BehaviorSpace results (NetLogo 6.2.1)"
"Difusión-Centralidad.nlogo"
"Efecto-Centralidad"
"05/07/2022 15:24:17:557 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","porc-iniciales","tipo-iniciales","prob-contagio","num-nodos","[step]","ticks"
"5","10","mayorgrado","50","5000","16","16"
"7","10","mayorgrado","50","5000","17","17"
"2","10","mayorgrado","50","5000","16","16"
"8","10","mayorgrado","50","5000","19","19"
"6","10","mayorgrado","50","5000","17","17"
"1","10","mayorgrado","50","5000","19","19"
"3","10","mayorgrado","50","5000","19","19"
"4","10","mayorgrado","50","5000","20","20"
"9","10","mayorgrado","50","5000","15","15"
"12","10","mayorgrado","50","5000","18","18"
"10","10","mayorgrado","50","5000","19","19"
"17","10","mayorgrado","50","5000","17","17"
"14","10","mayorgrado","50","5000","17","17"
"11","10","mayorgrado","50","5000","20","20"
"16","10","mayorgrado","50","5000","15","15"
"15","10","mayorgrado","50","5000","20","20"
"18","10","mayorgrado","50","5000","16","16"
"13","10","mayorgrado","50","5000","23","23"
"19","10","mayorgrado","50","5000","21","21"
"20","10","mayorgrado","50","5000","19","19"
"21","10","mayorgrado","50","5000","19","19"
"22","10","mayorgrado","50","5000","16","16"
"24","10","mayorgrado","50","5000","16","16"
"25","10","mayorgrado","50","5000","16","16"
"23","10","mayorgrado","50","5000","20","20"
"26","10","mayorgrado","50","5000","16","16"
"27","10","mayorgrado","50","5000","21","21"
"29","10","mayorgrado","50","5000","18","18"
"28","10","mayorgrado","50","5000","18","18"
"30","10","mayorgrado","50","5000","19","19"
"31","10","mayorgrado","50","5000","16","16"
"32","10","mayorgrado","50","5000","18","18"
"34","10","mayorgrado","50","5000","17","17"
"33","10","mayorgrado","50","5000","17","17"
"36","10","mayorgrado","50","5000","15","15"
"37","10","mayorgrado","50","5000","17","17"
"35","10","mayorgrado","50","5000","23","23"
"39","10","mayorgrado","50","5000","16","16"
"38","10","mayorgrado","50","5000","19","19"
"42","10","mayorgrado","50","5000","18","18"
"41","10","mayorgrado","50","5000","19","19"
"40","10","mayorgrado","50","5000","23","23"
"43","10","mayorgrado","50","5000","17","17"
"45","10","mayorgrado","50","5000","13","13"
"44","10","mayorgrado","50","5000","16","16"
"47","10","mayorgrado","50","5000","15","15"
"46","10","mayorgrado","50","5000","22","22"
"48","10","mayorgrado","50","5000","17","17"
"50","10","mayorgrado","50","5000","16","16"
"49","10","mayorgrado","50","5000","20","20"
"51","10","mayorgrado","50","6000","18","18"
"52","10","mayorgrado","50","6000","20","20"
"54","10","mayorgrado","50","6000","17","17"
"56","10","mayorgrado","50","6000","16","16"
"55","10","mayorgrado","50","6000","20","20"
"57","10","mayorgrado","50","6000","20","20"
"53","10","mayorgrado","50","6000","26","26"
"58","10","mayorgrado","50","6000","19","19"
"59","10","mayorgrado","50","6000","18","18"
"60","10","mayorgrado","50","6000","17","17"
"61","10","mayorgrado","50","6000","18","18"
"62","10","mayorgrado","50","6000","18","18"
"64","10","mayorgrado","50","6000","16","16"
"66","10","mayorgrado","50","6000","16","16"
"63","10","mayorgrado","50","6000","17","17"
"65","10","mayorgrado","50","6000","22","22"
"67","10","mayorgrado","50","6000","18","18"
"68","10","mayorgrado","50","6000","17","17"
"70","10","mayorgrado","50","6000","16","16"
"69","10","mayorgrado","50","6000","18","18"
"72","10","mayorgrado","50","6000","19","19"
"71","10","mayorgrado","50","6000","20","20"
"73","10","mayorgrado","50","6000","21","21"
"74","10","mayorgrado","50","6000","17","17"
"76","10","mayorgrado","50","6000","17","17"
"75","10","mayorgrado","50","6000","20","20"
"77","10","mayorgrado","50","6000","21","21"
"81","10","mayorgrado","50","6000","15","15"
"78","10","mayorgrado","50","6000","18","18"
"80","10","mayorgrado","50","6000","18","18"
"82","10","mayorgrado","50","6000","17","17"
"79","10","mayorgrado","50","6000","26","26"
"83","10","mayorgrado","50","6000","16","16"
"84","10","mayorgrado","50","6000","19","19"
"86","10","mayorgrado","50","6000","16","16"
"87","10","mayorgrado","50","6000","15","15"
"85","10","mayorgrado","50","6000","21","21"
"88","10","mayorgrado","50","6000","18","18"
"89","10","mayorgrado","50","6000","18","18"
