"BehaviorSpace results (NetLogo 6.2.1)"
"Difusión-ataque-red.nlogo"
"Difusión-tipo-de-ataque-tipo-de-red"
"05/06/2022 15:00:17:025 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","prob-difusión","num-iniciales","TipoDeAtaque","porc-atacados","TipoRed","num-nodos","[step]","ticks"
"2","50","3","Random","5","Preferencial","1000","10","10"
"5","50","3","Random","5","Preferencial","1000","10","10"
"1","50","3","Random","5","Preferencial","1000","11","11"
"4","50","3","Random","5","Preferencial","1000","14","14"
"6","50","3","Random","5","Preferencial","1000","11","11"
"7","50","3","Random","5","Preferencial","1000","12","12"
"9","50","3","Random","5","Preferencial","1000","13","13"
"8","50","3","Random","5","Preferencial","1000","10","10"
"3","50","3","Random","5","Preferencial","1000","15","15"
"10","50","3","Random","5","Preferencial","1000","12","12"
"13","50","3","Random","5","MundoPequeño","1000","23","23"
"14","50","3","Random","5","MundoPequeño","1000","24","24"
"11","50","3","Random","5","MundoPequeño","1000","28","28"
"12","50","3","Random","5","MundoPequeño","1000","21","21"
"18","50","3","Random","5","MundoPequeño","1000","20","20"
"16","50","3","Random","5","MundoPequeño","1000","22","22"
"15","50","3","Random","5","MundoPequeño","1000","23","23"
"17","50","3","Random","5","MundoPequeño","1000","30","30"
"19","50","3","Random","5","MundoPequeño","1000","30","30"
"20","50","3","Random","5","MundoPequeño","1000","23","23"
"21","50","3","Random","5","Aleatoria","1000","2","2"
"23","50","3","Random","5","Aleatoria","1000","2","2"
"22","50","3","Random","5","Aleatoria","1000","2","2"
"25","50","3","Random","5","Aleatoria","1000","2","2"
"24","50","3","Random","5","Aleatoria","1000","2","2"
"26","50","3","Random","5","Aleatoria","1000","3","3"
"27","50","3","Random","5","Aleatoria","1000","3","3"
"28","50","3","Random","5","Aleatoria","1000","3","3"
"32","50","3","Random","10","Preferencial","1000","14","14"
"31","50","3","Random","10","Preferencial","1000","18","18"
"33","50","3","Random","10","Preferencial","1000","17","17"
"34","50","3","Random","10","Preferencial","1000","12","12"
"36","50","3","Random","10","Preferencial","1000","10","10"
"37","50","3","Random","10","Preferencial","1000","12","12"
"29","50","3","Random","5","Aleatoria","1000","2","2"
"35","50","3","Random","10","Preferencial","1000","14","14"
"40","50","3","Random","10","Preferencial","1000","12","12"
"38","50","3","Random","10","Preferencial","1000","14","14"
"41","50","3","Random","10","MundoPequeño","1000","25","25"
"44","50","3","Random","10","MundoPequeño","1000","27","27"
"30","50","3","Random","5","Aleatoria","1000","3","3"
"42","50","3","Random","10","MundoPequeño","1000","35","35"
"47","50","3","Random","10","MundoPequeño","1000","26","26"
"43","50","3","Random","10","MundoPequeño","1000","26","26"
"39","50","3","Random","10","Preferencial","1000","19","19"
"48","50","3","Random","10","MundoPequeño","1000","23","23"
"45","50","3","Random","10","MundoPequeño","1000","23","23"
"50","50","3","Random","10","MundoPequeño","1000","25","25"
"46","50","3","Random","10","MundoPequeño","1000","28","28"
"49","50","3","Random","10","MundoPequeño","1000","27","27"
"52","50","3","Random","10","Aleatoria","1000","3","3"
"54","50","3","Random","10","Aleatoria","1000","2","2"
"51","50","3","Random","10","Aleatoria","1000","2","2"
"61","50","3","Random","15","Preferencial","1000","12","12"
"62","50","3","Random","15","Preferencial","1000","13","13"
"53","50","3","Random","10","Aleatoria","1000","3","3"
"55","50","3","Random","10","Aleatoria","1000","3","3"
"57","50","3","Random","10","Aleatoria","1000","3","3"
"56","50","3","Random","10","Aleatoria","1000","3","3"
"63","50","3","Random","15","Preferencial","1000","13","13"
"58","50","3","Random","10","Aleatoria","1000","2","2"
"59","50","3","Random","10","Aleatoria","1000","2","2"
"60","50","3","Random","10","Aleatoria","1000","3","3"
"68","50","3","Random","15","Preferencial","1000","12","12"
"64","50","3","Random","15","Preferencial","1000","12","12"
"70","50","3","Random","15","Preferencial","1000","12","12"
"65","50","3","Random","15","Preferencial","1000","18","18"
"67","50","3","Random","15","Preferencial","1000","13","13"
"72","50","3","Random","15","MundoPequeño","1000","31","31"
"71","50","3","Random","15","MundoPequeño","1000","29","29"
"74","50","3","Random","15","MundoPequeño","1000","21","21"
"66","50","3","Random","15","Preferencial","1000","20","20"
"69","50","3","Random","15","Preferencial","1000","12","12"
"78","50","3","Random","15","MundoPequeño","1000","27","27"
"79","50","3","Random","15","MundoPequeño","1000","32","32"
"73","50","3","Random","15","MundoPequeño","1000","30","30"
"76","50","3","Random","15","MundoPequeño","1000","32","32"
"77","50","3","Random","15","MundoPequeño","1000","34","34"
"75","50","3","Random","15","MundoPequeño","1000","30","30"
"80","50","3","Random","15","MundoPequeño","1000","29","29"
"81","50","3","Random","15","Aleatoria","1000","3","3"
"84","50","3","Random","15","Aleatoria","1000","3","3"
"85","50","3","Random","15","Aleatoria","1000","3","3"
"82","50","3","Random","15","Aleatoria","1000","3","3"
"83","50","3","Random","15","Aleatoria","1000","3","3"
"88","50","3","Random","15","Aleatoria","1000","3","3"
"87","50","3","Random","15","Aleatoria","1000","3","3"
"86","50","3","Random","15","Aleatoria","1000","3","3"
"91","50","3","Random","20","Preferencial","1000","16","16"
"93","50","3","Random","20","Preferencial","1000","15","15"
"95","50","3","Random","20","Preferencial","1000","15","15"
"92","50","3","Random","20","Preferencial","1000","16","16"
"94","50","3","Random","20","Preferencial","1000","16","16"
"96","50","3","Random","20","Preferencial","1000","16","16"
"97","50","3","Random","20","Preferencial","1000","18","18"
"98","50","3","Random","20","Preferencial","1000","18","18"
"100","50","3","Random","20","Preferencial","1000","14","14"
"99","50","3","Random","20","Preferencial","1000","15","15"
"102","50","3","Random","20","MundoPequeño","1000","34","34"
"89","50","3","Random","15","Aleatoria","1000","3","3"
"101","50","3","Random","20","MundoPequeño","1000","35","35"
"90","50","3","Random","15","Aleatoria","1000","3","3"
"104","50","3","Random","20","MundoPequeño","1000","39","39"
"103","50","3","Random","20","MundoPequeño","1000","38","38"
"109","50","3","Random","20","MundoPequeño","1000","26","26"
"105","50","3","Random","20","MundoPequeño","1000","29","29"
"107","50","3","Random","20","MundoPequeño","1000","49","49"
"106","50","3","Random","20","MundoPequeño","1000","34","34"
"108","50","3","Random","20","MundoPequeño","1000","41","41"
"110","50","3","Random","20","MundoPequeño","1000","33","33"
"111","50","3","Random","20","Aleatoria","1000","3","3"
"112","50","3","Random","20","Aleatoria","1000","3","3"
"114","50","3","Random","20","Aleatoria","1000","0","0"
"113","50","3","Random","20","Aleatoria","1000","3","3"
"116","50","3","Random","20","Aleatoria","1000","3","3"
"115","50","3","Random","20","Aleatoria","1000","3","3"
"121","50","3","Random","25","Preferencial","1000","17","17"
"122","50","3","Random","25","Preferencial","1000","15","15"
"117","50","3","Random","20","Aleatoria","1000","2","2"
"118","50","3","Random","20","Aleatoria","1000","3","3"
"124","50","3","Random","25","Preferencial","1000","15","15"
"123","50","3","Random","25","Preferencial","1000","14","14"
"125","50","3","Random","25","Preferencial","1000","20","20"
"126","50","3","Random","25","Preferencial","1000","15","15"
"127","50","3","Random","25","Preferencial","1000","13","13"
"129","50","3","Random","25","Preferencial","1000","17","17"
"130","50","3","Random","25","Preferencial","1000","22","22"
"119","50","3","Random","20","Aleatoria","1000","3","3"
"131","50","3","Random","25","MundoPequeño","1000","43","43"
"132","50","3","Random","25","MundoPequeño","1000","40","40"
"128","50","3","Random","25","Preferencial","1000","16","16"
"120","50","3","Random","20","Aleatoria","1000","3","3"
"133","50","3","Random","25","MundoPequeño","1000","40","40"
"137","50","3","Random","25","MundoPequeño","1000","32","32"
"134","50","3","Random","25","MundoPequeño","1000","62","62"
"139","50","3","Random","25","MundoPequeño","1000","36","36"
"135","50","3","Random","25","MundoPequeño","1000","50","50"
"136","50","3","Random","25","MundoPequeño","1000","44","44"
"138","50","3","Random","25","MundoPequeño","1000","44","44"
"140","50","3","Random","25","MundoPequeño","1000","42","42"
"141","50","3","Random","25","Aleatoria","1000","3","3"
"143","50","3","Random","25","Aleatoria","1000","3","3"
"145","50","3","Random","25","Aleatoria","1000","3","3"
"142","50","3","Random","25","Aleatoria","1000","3","3"
"144","50","3","Random","25","Aleatoria","1000","3","3"
"146","50","3","Random","25","Aleatoria","1000","3","3"
"148","50","3","Random","25","Aleatoria","1000","3","3"
"147","50","3","Random","25","Aleatoria","1000","3","3"
"151","50","3","Random","30","Preferencial","1000","18","18"
"152","50","3","Random","30","Preferencial","1000","19","19"
"153","50","3","Random","30","Preferencial","1000","16","16"
"154","50","3","Random","30","Preferencial","1000","18","18"
"155","50","3","Random","30","Preferencial","1000","21","21"
"158","50","3","Random","30","Preferencial","1000","14","14"
"157","50","3","Random","30","Preferencial","1000","22","22"
"159","50","3","Random","30","Preferencial","1000","15","15"
"160","50","3","Random","30","Preferencial","1000","23","23"
"156","50","3","Random","30","Preferencial","1000","18","18"
"163","50","3","Random","30","MundoPequeño","1000","44","44"
"164","50","3","Random","30","MundoPequeño","1000","50","50"
"161","50","3","Random","30","MundoPequeño","1000","57","57"
"149","50","3","Random","25","Aleatoria","1000","3","3"
"166","50","3","Random","30","MundoPequeño","1000","40","40"
"150","50","3","Random","25","Aleatoria","1000","3","3"
"165","50","3","Random","30","MundoPequeño","1000","61","61"
"162","50","3","Random","30","MundoPequeño","1000","56","56"
"167","50","3","Random","30","MundoPequeño","1000","38","38"
"169","50","3","Random","30","MundoPequeño","1000","48","48"
"168","50","3","Random","30","MundoPequeño","1000","56","56"
"170","50","3","Random","30","MundoPequeño","1000","42","42"
"171","50","3","Random","30","Aleatoria","1000","0","0"
"174","50","3","Random","30","Aleatoria","1000","3","3"
"173","50","3","Random","30","Aleatoria","1000","3","3"
"172","50","3","Random","30","Aleatoria","1000","3","3"
"175","50","3","Random","30","Aleatoria","1000","3","3"
"176","50","3","Random","30","Aleatoria","1000","3","3"
"181","50","3","Random","35","Preferencial","1000","17","17"
"183","50","3","Random","35","Preferencial","1000","19","19"
"182","50","3","Random","35","Preferencial","1000","26","26"
"185","50","3","Random","35","Preferencial","1000","12","12"
"177","50","3","Random","30","Aleatoria","1000","3","3"
"187","50","3","Random","35","Preferencial","1000","0","0"
"178","50","3","Random","30","Aleatoria","1000","3","3"
"184","50","3","Random","35","Preferencial","1000","27","27"
"186","50","3","Random","35","Preferencial","1000","23","23"
"191","50","3","Random","35","MundoPequeño","1000","0","0"
"188","50","3","Random","35","Preferencial","1000","27","27"
"190","50","3","Random","35","Preferencial","1000","16","16"
"189","50","3","Random","35","Preferencial","1000","22","22"
"192","50","3","Random","35","MundoPequeño","1000","53","53"
"197","50","3","Random","35","MundoPequeño","1000","42","42"
"195","50","3","Random","35","MundoPequeño","1000","53","53"
"179","50","3","Random","30","Aleatoria","1000","3","3"
"194","50","3","Random","35","MundoPequeño","1000","81","81"
"196","50","3","Random","35","MundoPequeño","1000","57","57"
"193","50","3","Random","35","MundoPequeño","1000","52","52"
"180","50","3","Random","30","Aleatoria","1000","3","3"
"198","50","3","Random","35","MundoPequeño","1000","63","63"
"199","50","3","Random","35","MundoPequeño","1000","41","41"
"200","50","3","Random","35","MundoPequeño","1000","55","55"
"204","50","3","Random","35","Aleatoria","1000","3","3"
"201","50","3","Random","35","Aleatoria","1000","3","3"
