"BehaviorSpace results (NetLogo 6.2.1)"
"Vacunación-Centralidad.nlogo"
"Vacunación-Centralidad"
"05/08/2022 21:44:12:802 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","porc-iniciales","tipo-iniciales","prob-contagio","num-nodos","[step]","infectados"
"1","1","mayorgrado","100","500","3","7"
"9","1","mayorgrado","100","500","7","15"
"3","1","mayorgrado","100","500","0","0"
"2","1","mayorgrado","100","500","4","8"
"7","1","mayorgrado","100","500","4","31"
"5","1","mayorgrado","100","500","8","40"
"6","1","mayorgrado","100","500","4","10"
"4","1","mayorgrado","100","500","8","188"
"8","1","mayorgrado","100","500","4","20"
"11","1","mayorgrado","100","600","3","5"
"12","1","mayorgrado","100","600","2","2"
"13","1","mayorgrado","100","600","1","2"
"17","1","mayorgrado","100","600","1","1"
"14","1","mayorgrado","100","600","1","1"
"15","1","mayorgrado","100","600","6","60"
"16","1","mayorgrado","100","600","4","15"
"19","1","mayorgrado","100","600","4","6"
"20","1","mayorgrado","100","600","3","7"
"21","1","mayorgrado","100","700","0","0"
"10","1","mayorgrado","100","500","0","0"
"22","1","mayorgrado","100","700","2","2"
"18","1","mayorgrado","100","600","4","12"
"23","1","mayorgrado","100","700","4","18"
"26","1","mayorgrado","100","700","1","1"
"30","1","mayorgrado","100","700","0","0"
"24","1","mayorgrado","100","700","5","20"
"25","1","mayorgrado","100","700","0","0"
"31","1","mayorgrado","100","800","3","8"
"28","1","mayorgrado","100","700","7","114"
"34","1","mayorgrado","100","800","1","1"
"33","1","mayorgrado","100","800","4","9"
"27","1","mayorgrado","100","700","1","1"
"35","1","mayorgrado","100","800","3","6"
"36","1","mayorgrado","100","800","0","0"
"32","1","mayorgrado","100","800","6","21"
"38","1","mayorgrado","100","800","1","1"
"29","1","mayorgrado","100","700","5","38"
"39","1","mayorgrado","100","800","1","1"
"42","1","mayorgrado","100","900","0","0"
"41","1","mayorgrado","100","900","3","10"
"37","1","mayorgrado","100","800","7","25"
"40","1","mayorgrado","100","800","5","19"
"44","1","mayorgrado","100","900","5","52"
"48","1","mayorgrado","100","900","2","2"
"43","1","mayorgrado","100","900","8","58"
"50","1","mayorgrado","100","900","3","8"
"47","1","mayorgrado","100","900","7","37"
"52","1","mayorgrado","100","1000","1","1"
"49","1","mayorgrado","100","900","3","22"
"46","1","mayorgrado","100","900","7","40"
"45","1","mayorgrado","100","900","6","33"
"53","1","mayorgrado","100","1000","1","1"
