"BehaviorSpace results (NetLogo 6.2.1)"
"Vacunación-CompGigante.nlogo"
"Vacunación-ComGigante"
"05/08/2022 23:38:55:795 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","porc-iniciales","tipo-iniciales","num-nodos","[step]","tamaño-gigante"
"1","2","mayorgrado","100","0","100"
"1","2","mayorgrado","100","1","20"
"9","2","mayorgrado","100","0","100"
"9","2","mayorgrado","100","1","44"
"10","2","mayorgrado","100","0","100"
"10","2","mayorgrado","100","1","42"
"11","2","mayorgrado","200","0","200"
"11","2","mayorgrado","200","1","36"
"11","2","mayorgrado","200","2","26"
"11","2","mayorgrado","200","3","26"
"12","2","mayorgrado","200","0","200"
"12","2","mayorgrado","200","1","132"
"12","2","mayorgrado","200","2","79"
"12","2","mayorgrado","200","3","79"
"13","2","mayorgrado","200","0","200"
"13","2","mayorgrado","200","1","48"
"13","2","mayorgrado","200","2","46"
"13","2","mayorgrado","200","3","40"
"14","2","mayorgrado","200","0","200"
"14","2","mayorgrado","200","1","159"
"14","2","mayorgrado","200","2","74"
"14","2","mayorgrado","200","3","53"
"15","2","mayorgrado","200","0","200"
"15","2","mayorgrado","200","1","34"
"15","2","mayorgrado","200","2","29"
"5","2","mayorgrado","100","0","100"
"15","2","mayorgrado","200","3","29"
"16","2","mayorgrado","200","0","200"
"16","2","mayorgrado","200","1","139"
"16","2","mayorgrado","200","2","87"
"5","2","mayorgrado","100","1","45"
"16","2","mayorgrado","200","3","74"
"18","2","mayorgrado","200","0","200"
"17","2","mayorgrado","200","0","200"
"18","2","mayorgrado","200","1","107"
"18","2","mayorgrado","200","2","76"
"17","2","mayorgrado","200","1","74"
"18","2","mayorgrado","200","3","37"
"2","2","mayorgrado","100","0","100"
"7","2","mayorgrado","100","0","100"
"17","2","mayorgrado","200","2","74"
"19","2","mayorgrado","200","0","200"
"19","2","mayorgrado","200","1","60"
"4","2","mayorgrado","100","0","100"
"19","2","mayorgrado","200","2","60"
"17","2","mayorgrado","200","3","74"
"19","2","mayorgrado","200","3","26"
"6","2","mayorgrado","100","0","100"
"3","2","mayorgrado","100","0","100"
"20","2","mayorgrado","200","0","200"
"2","2","mayorgrado","100","1","78"
"7","2","mayorgrado","100","1","38"
"20","2","mayorgrado","200","1","150"
"21","2","mayorgrado","300","0","300"
"21","2","mayorgrado","300","1","144"
"20","2","mayorgrado","200","2","53"
"4","2","mayorgrado","100","1","42"
"21","2","mayorgrado","300","2","93"
"22","2","mayorgrado","300","0","300"
"20","2","mayorgrado","200","3","43"
"21","2","mayorgrado","300","3","93"
"3","2","mayorgrado","100","1","49"
"6","2","mayorgrado","100","1","82"
"21","2","mayorgrado","300","4","50"
"21","2","mayorgrado","300","5","32"
"22","2","mayorgrado","300","1","218"
"23","2","mayorgrado","300","0","300"
"24","2","mayorgrado","300","0","300"
"27","2","mayorgrado","300","0","300"
"26","2","mayorgrado","300","0","300"
"8","2","mayorgrado","100","0","100"
"27","2","mayorgrado","300","1","184"
"23","2","mayorgrado","300","1","91"
"27","2","mayorgrado","300","2","117"
"27","2","mayorgrado","300","3","117"
"24","2","mayorgrado","300","1","99"
"22","2","mayorgrado","300","2","58"
"25","2","mayorgrado","300","0","300"
"26","2","mayorgrado","300","1","101"
"27","2","mayorgrado","300","4","56"
"27","2","mayorgrado","300","5","27"
"8","2","mayorgrado","100","1","57"
"23","2","mayorgrado","300","2","91"
"28","2","mayorgrado","300","0","300"
"26","2","mayorgrado","300","2","101"
"26","2","mayorgrado","300","3","70"
"22","2","mayorgrado","300","3","36"
"24","2","mayorgrado","300","2","28"
"26","2","mayorgrado","300","4","70"
"25","2","mayorgrado","300","1","97"
"23","2","mayorgrado","300","3","91"
"29","2","mayorgrado","300","0","300"
"26","2","mayorgrado","300","5","53"
"30","2","mayorgrado","300","0","300"
"28","2","mayorgrado","300","1","108"
"29","2","mayorgrado","300","1","135"
"22","2","mayorgrado","300","4","25"
"24","2","mayorgrado","300","3","28"
"29","2","mayorgrado","300","2","97"
"25","2","mayorgrado","300","2","37"
"31","2","random","100","0","100"
"29","2","mayorgrado","300","3","97"
"28","2","mayorgrado","300","2","108"
"23","2","mayorgrado","300","4","39"
"30","2","mayorgrado","300","1","138"
"31","2","random","100","1","99"
"22","2","mayorgrado","300","5","25"
"29","2","mayorgrado","300","4","71"
"32","2","random","100","0","100"
"23","2","mayorgrado","300","5","39"
"29","2","mayorgrado","300","5","71"
"24","2","mayorgrado","300","4","28"
"32","2","random","100","1","99"
"33","2","random","100","0","100"
"34","2","random","100","0","100"
"34","2","random","100","1","97"
"36","2","random","100","0","100"
"36","2","random","100","1","99"
"37","2","random","100","0","100"
"33","2","random","100","1","99"
"35","2","random","100","0","100"
"28","2","mayorgrado","300","3","47"
"37","2","random","100","1","99"
"38","2","random","100","0","100"
"35","2","random","100","1","99"
"39","2","random","100","0","100"
"38","2","random","100","1","99"
"24","2","mayorgrado","300","5","28"
"40","2","random","100","0","100"
"39","2","random","100","1","98"
"40","2","random","100","1","98"
"28","2","mayorgrado","300","4","47"
"42","2","random","200","0","200"
"41","2","random","200","0","200"
"41","2","random","200","1","197"
"45","2","random","200","0","200"
"42","2","random","200","1","199"
"44","2","random","200","0","200"
"43","2","random","200","0","200"
"41","2","random","200","2","121"
"45","2","random","200","1","199"
"44","2","random","200","1","199"
"42","2","random","200","2","194"
"43","2","random","200","1","199"
"41","2","random","200","3","120"
"45","2","random","200","2","193"
"44","2","random","200","2","198"
"28","2","mayorgrado","300","5","29"
"42","2","random","200","3","193"
"43","2","random","200","2","198"
"30","2","mayorgrado","300","2","59"
"44","2","random","200","3","192"
"45","2","random","200","3","191"
"46","2","random","200","0","200"
"43","2","random","200","3","196"
"47","2","random","200","0","200"
"46","2","random","200","1","197"
"47","2","random","200","1","199"
"46","2","random","200","2","196"
"48","2","random","200","0","200"
"49","2","random","200","0","200"
"47","2","random","200","2","198"
"50","2","random","200","0","200"
"46","2","random","200","3","191"
"30","2","mayorgrado","300","3","25"
"49","2","random","200","1","195"
"47","2","random","200","3","197"
"25","2","mayorgrado","300","3","37"
"50","2","random","200","1","194"
"49","2","random","200","2","192"
"49","2","random","200","3","189"
"48","2","random","200","1","198"
"51","2","random","300","0","300"
"52","2","random","300","0","300"
"30","2","mayorgrado","300","4","23"
"25","2","mayorgrado","300","4","35"
"48","2","random","200","2","197"
"53","2","random","300","0","300"
"52","2","random","300","1","293"
"50","2","random","200","2","180"
"51","2","random","300","1","299"
"53","2","random","300","1","298"
"52","2","random","300","2","292"
"48","2","random","200","3","196"
"50","2","random","200","3","179"
"54","2","random","300","0","300"
"51","2","random","300","2","297"
"52","2","random","300","3","284"
"53","2","random","300","2","297"
"54","2","random","300","1","299"
"56","2","random","300","0","300"
"52","2","random","300","4","283"
"53","2","random","300","3","296"
"54","2","random","300","2","298"
"25","2","mayorgrado","300","5","35"
"56","2","random","300","1","299"
"52","2","random","300","5","280"
"53","2","random","300","4","295"
"51","2","random","300","3","296"
"54","2","random","300","3","297"
"54","2","random","300","4","296"
"55","2","random","300","0","300"
"53","2","random","300","5","293"
"56","2","random","300","2","298"
"51","2","random","300","4","294"
"54","2","random","300","5","292"
"56","2","random","300","3","297"
"55","2","random","300","1","299"
"56","2","random","300","4","268"
"57","2","random","300","0","300"
"59","2","random","300","0","300"
"58","2","random","300","0","300"
"57","2","random","300","1","299"
"56","2","random","300","5","263"
"30","2","mayorgrado","300","5","21"
"51","2","random","300","5","292"
"55","2","random","300","2","298"
"58","2","random","300","1","299"
"59","2","random","300","1","298"
"55","2","random","300","3","296"
"57","2","random","300","2","298"
"63","2","between","100","0","100"
"61","2","between","100","0","100"
"58","2","random","300","2","296"
"59","2","random","300","2","297"
"62","2","between","100","0","100"
"57","2","random","300","3","297"
"58","2","random","300","3","295"
"59","2","random","300","3","292"
"57","2","random","300","4","296"
"58","2","random","300","4","287"
"60","2","random","300","0","300"
"59","2","random","300","4","278"
"57","2","random","300","5","289"
"60","2","random","300","1","299"
"55","2","random","300","4","295"
"58","2","random","300","5","285"
"59","2","random","300","5","277"
"64","2","between","100","0","100"
"60","2","random","300","2","297"
