"BehaviorSpace results (NetLogo 6.2.1)"
"VacunaciónTipoDeRed.nlogo"
"tipo-red-fijo-mayorgradio"
"05/07/2022 22:00:21:641 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","porc-iniciales","tipo-iniciales","prob-contagio","tipo-red","num-nodos","[step]","infectados"
"6","2","mayorgrado","50","mundoPequeño","4000","29","3919"
"5","2","mayorgrado","50","mundoPequeño","4000","32","3919"
"4","2","mayorgrado","50","mundoPequeño","4000","32","3919"
"8","2","mayorgrado","50","mundoPequeño","4000","32","3919"
"7","2","mayorgrado","50","mundoPequeño","4000","29","3919"
"2","2","mayorgrado","50","mundoPequeño","4000","35","3919"
"1","2","mayorgrado","50","mundoPequeño","4000","36","3919"
"3","2","mayorgrado","50","mundoPequeño","4000","39","3919"
"9","2","mayorgrado","50","mundoPequeño","4000","33","3919"
"10","2","mayorgrado","50","mundoPequeño","4000","35","3919"
"12","2","mayorgrado","50","mundoPequeño","6000","35","5879"
"14","2","mayorgrado","50","mundoPequeño","6000","33","5879"
"13","2","mayorgrado","50","mundoPequeño","6000","32","5879"
"11","2","mayorgrado","50","mundoPequeño","6000","34","5879"
"15","2","mayorgrado","50","mundoPequeño","6000","35","5879"
"16","2","mayorgrado","50","mundoPequeño","6000","32","5879"
"17","2","mayorgrado","50","mundoPequeño","6000","41","5879"
"18","2","mayorgrado","50","mundoPequeño","6000","38","5878"
"20","2","mayorgrado","50","mundoPequeño","6000","33","5879"
"19","2","mayorgrado","50","mundoPequeño","6000","41","5879"
"21","2","mayorgrado","50","mundoPequeño","8000","39","7838"
"22","2","mayorgrado","50","mundoPequeño","8000","40","7839"
"23","2","mayorgrado","50","mundoPequeño","8000","38","7839"
"25","2","mayorgrado","50","mundoPequeño","8000","36","7839"
"26","2","mayorgrado","50","mundoPequeño","8000","34","7839"
"24","2","mayorgrado","50","mundoPequeño","8000","38","7839"
"27","2","mayorgrado","50","mundoPequeño","8000","36","7839"
"28","2","mayorgrado","50","mundoPequeño","8000","37","7839"
"29","2","mayorgrado","50","mundoPequeño","8000","36","7838"
"31","2","mayorgrado","50","mundoPequeño","10000","36","9799"
"32","2","mayorgrado","50","mundoPequeño","10000","41","9799"
"35","2","mayorgrado","50","mundoPequeño","10000","35","9799"
"33","2","mayorgrado","50","mundoPequeño","10000","41","9799"
"34","2","mayorgrado","50","mundoPequeño","10000","39","9799"
"30","2","mayorgrado","50","mundoPequeño","8000","55","7831"
"36","2","mayorgrado","50","mundoPequeño","10000","35","9798"
"37","2","mayorgrado","50","mundoPequeño","10000","44","9798"
"42","2","mayorgrado","50","aleatoria","4000","20","3804"
"43","2","mayorgrado","50","aleatoria","4000","21","3819"
"41","2","mayorgrado","50","aleatoria","4000","24","3807"
"38","2","mayorgrado","50","mundoPequeño","10000","40","9797"
"39","2","mayorgrado","50","mundoPequeño","10000","38","9798"
"40","2","mayorgrado","50","mundoPequeño","10000","38","9799"
"44","2","mayorgrado","50","aleatoria","4000","25","3829"
"45","2","mayorgrado","50","aleatoria","4000","24","3814"
"46","2","mayorgrado","50","aleatoria","4000","28","3825"
"47","2","mayorgrado","50","aleatoria","4000","21","3826"
"49","2","mayorgrado","50","aleatoria","4000","19","3813"
"48","2","mayorgrado","50","aleatoria","4000","23","3822"
"50","2","mayorgrado","50","aleatoria","4000","26","3799"
"52","2","mayorgrado","50","aleatoria","6000","23","5717"
"51","2","mayorgrado","50","aleatoria","6000","27","5735"
"53","2","mayorgrado","50","aleatoria","6000","24","5734"
"57","2","mayorgrado","50","aleatoria","6000","21","5732"
"54","2","mayorgrado","50","aleatoria","6000","24","5742"
"55","2","mayorgrado","50","aleatoria","6000","25","5726"
"56","2","mayorgrado","50","aleatoria","6000","23","5712"
"58","2","mayorgrado","50","aleatoria","6000","25","5730"
"59","2","mayorgrado","50","aleatoria","6000","21","5714"
"60","2","mayorgrado","50","aleatoria","6000","21","5739"
"64","2","mayorgrado","50","aleatoria","8000","0","0"
"61","2","mayorgrado","50","aleatoria","8000","22","7644"
"63","2","mayorgrado","50","aleatoria","8000","21","7659"
"62","2","mayorgrado","50","aleatoria","8000","22","7664"
"65","2","mayorgrado","50","aleatoria","8000","21","7629"
"66","2","mayorgrado","50","aleatoria","8000","21","7625"
"67","2","mayorgrado","50","aleatoria","8000","26","7631"
"68","2","mayorgrado","50","aleatoria","8000","24","7633"
"69","2","mayorgrado","50","aleatoria","8000","22","7634"
"70","2","mayorgrado","50","aleatoria","8000","27","7669"
"71","2","mayorgrado","50","aleatoria","10000","25","9549"
"73","2","mayorgrado","50","aleatoria","10000","23","9565"
"74","2","mayorgrado","50","aleatoria","10000","26","9578"
"72","2","mayorgrado","50","aleatoria","10000","31","9563"
"81","2","mayorgrado","50","preferencial","4000","26","3813"
"82","2","mayorgrado","50","preferencial","4000","28","3790"
"75","2","mayorgrado","50","aleatoria","10000","25","9551"
"83","2","mayorgrado","50","preferencial","4000","23","3786"
"84","2","mayorgrado","50","preferencial","4000","0","0"
"76","2","mayorgrado","50","aleatoria","10000","26","9588"
"85","2","mayorgrado","50","preferencial","4000","25","3775"
"86","2","mayorgrado","50","preferencial","4000","25","3774"
"87","2","mayorgrado","50","preferencial","4000","25","3756"
"90","2","mayorgrado","50","preferencial","4000","24","3777"
"88","2","mayorgrado","50","preferencial","4000","27","3752"
"89","2","mayorgrado","50","preferencial","4000","24","3777"
"91","2","mayorgrado","50","preferencial","6000","29","5669"
"93","2","mayorgrado","50","preferencial","6000","27","5657"
"94","2","mayorgrado","50","preferencial","6000","25","5633"
"92","2","mayorgrado","50","preferencial","6000","27","5690"
"77","2","mayorgrado","50","aleatoria","10000","26","9557"
"78","2","mayorgrado","50","aleatoria","10000","24","9528"
"95","2","mayorgrado","50","preferencial","6000","25","5663"
"96","2","mayorgrado","50","preferencial","6000","25","5656"
"98","2","mayorgrado","50","preferencial","6000","26","5666"
"97","2","mayorgrado","50","preferencial","6000","27","5641"
"99","2","mayorgrado","50","preferencial","6000","26","5672"
"100","2","mayorgrado","50","preferencial","6000","26","5648"
"102","2","mayorgrado","50","preferencial","8000","28","7551"
"101","2","mayorgrado","50","preferencial","8000","32","7548"
"103","2","mayorgrado","50","preferencial","8000","29","7537"
"109","2","mayorgrado","50","preferencial","8000","0","0"
"105","2","mayorgrado","50","preferencial","8000","33","7534"
"106","2","mayorgrado","50","preferencial","8000","29","7559"
"104","2","mayorgrado","50","preferencial","8000","34","7519"
"113","2","mayorgrado","50","preferencial","10000","1","1"
"108","2","mayorgrado","50","preferencial","8000","27","7533"
"114","2","mayorgrado","50","preferencial","10000","0","0"
"107","2","mayorgrado","50","preferencial","8000","32","7522"
"79","2","mayorgrado","50","aleatoria","10000","29","9570"
"110","2","mayorgrado","50","preferencial","8000","30","7488"
"80","2","mayorgrado","50","aleatoria","10000","27","9554"
"112","2","mayorgrado","50","preferencial","10000","27","9387"
"111","2","mayorgrado","50","preferencial","10000","30","9407"
"121","4","mayorgrado","50","mundoPequeño","4000","36","3839"
"122","4","mayorgrado","50","mundoPequeño","4000","37","3829"
"115","2","mayorgrado","50","preferencial","10000","29","9454"
"117","2","mayorgrado","50","preferencial","10000","28","9440"
"116","2","mayorgrado","50","preferencial","10000","28","9437"
"118","2","mayorgrado","50","preferencial","10000","27","9435"
"123","4","mayorgrado","50","mundoPequeño","4000","35","3839"
"119","2","mayorgrado","50","preferencial","10000","30","9421"
"124","4","mayorgrado","50","mundoPequeño","4000","38","3839"
"126","4","mayorgrado","50","mundoPequeño","4000","35","3837"
"125","4","mayorgrado","50","mundoPequeño","4000","36","3835"
"120","2","mayorgrado","50","preferencial","10000","30","9452"
"128","4","mayorgrado","50","mundoPequeño","4000","39","3836"
"127","4","mayorgrado","50","mundoPequeño","4000","43","3839"
"129","4","mayorgrado","50","mundoPequeño","4000","38","3839"
"130","4","mayorgrado","50","mundoPequeño","4000","36","3839"
"131","4","mayorgrado","50","mundoPequeño","6000","36","5754"
"132","4","mayorgrado","50","mundoPequeño","6000","44","5759"
"133","4","mayorgrado","50","mundoPequeño","6000","43","5759"
"138","4","mayorgrado","50","mundoPequeño","6000","33","5759"
"134","4","mayorgrado","50","mundoPequeño","6000","45","5758"
"136","4","mayorgrado","50","mundoPequeño","6000","41","5759"
"137","4","mayorgrado","50","mundoPequeño","6000","44","5759"
"135","4","mayorgrado","50","mundoPequeño","6000","50","5753"
"140","4","mayorgrado","50","mundoPequeño","6000","39","5759"
"139","4","mayorgrado","50","mundoPequeño","6000","50","5759"
"141","4","mayorgrado","50","mundoPequeño","8000","40","7678"
"142","4","mayorgrado","50","mundoPequeño","8000","40","7679"
"143","4","mayorgrado","50","mundoPequeño","8000","41","7679"
"144","4","mayorgrado","50","mundoPequeño","8000","40","7679"
"145","4","mayorgrado","50","mundoPequeño","8000","52","7676"
"146","4","mayorgrado","50","mundoPequeño","8000","44","7679"
"148","4","mayorgrado","50","mundoPequeño","8000","42","7676"
"147","4","mayorgrado","50","mundoPequeño","8000","48","7678"
"149","4","mayorgrado","50","mundoPequeño","8000","45","7677"
"150","4","mayorgrado","50","mundoPequeño","8000","49","7679"
"152","4","mayorgrado","50","mundoPequeño","10000","38","9599"
"151","4","mayorgrado","50","mundoPequeño","10000","42","9589"
"154","4","mayorgrado","50","mundoPequeño","10000","44","9599"
"153","4","mayorgrado","50","mundoPequeño","10000","50","9595"
"156","4","mayorgrado","50","mundoPequeño","10000","39","9595"
"157","4","mayorgrado","50","mundoPequeño","10000","41","9598"
"155","4","mayorgrado","50","mundoPequeño","10000","46","9599"
"161","4","mayorgrado","50","aleatoria","4000","0","0"
"158","4","mayorgrado","50","mundoPequeño","10000","42","9598"
"162","4","mayorgrado","50","aleatoria","4000","26","3703"
"163","4","mayorgrado","50","aleatoria","4000","23","3726"
"160","4","mayorgrado","50","mundoPequeño","10000","51","9595"
"165","4","mayorgrado","50","aleatoria","4000","19","3735"
